[2026-05-14T12:21:49.885+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-14T12:21:49.287689+00:00 [queued]>
[2026-05-14T12:21:49.894+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-14T12:21:49.287689+00:00 [queued]>
[2026-05-14T12:21:49.894+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-05-14T12:21:49.907+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): kafka_producer> on 2026-05-14 12:21:49.287689+00:00
[2026-05-14T12:21:49.911+0000] {standard_task_runner.py:60} INFO - Started process 393 to run task
[2026-05-14T12:21:49.914+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'supply_chain_pipeline', 'kafka_producer', 'manual__2026-05-14T12:21:49.287689+00:00', '--job-id', '34', '--raw', '--subdir', 'DAGS_FOLDER/supply_chain_pipeline.py', '--cfg-path', '/tmp/tmpnobk2pq_']
[2026-05-14T12:21:49.917+0000] {standard_task_runner.py:88} INFO - Job 34: Subtask kafka_producer
[2026-05-14T12:21:49.966+0000] {task_command.py:423} INFO - Running <TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-14T12:21:49.287689+00:00 [running]> on host 25ee09023a37
[2026-05-14T12:21:50.033+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lovepreet' AIRFLOW_CTX_DAG_ID='supply_chain_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-05-14T12:21:49.287689+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-14T12:21:49.287689+00:00'
[2026-05-14T12:21:50.035+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-05-14T12:21:50.036+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/airflow/ingestion/kafka_producer.py']
[2026-05-14T12:21:50.044+0000] {subprocess.py:86} INFO - Output:
[2026-05-14T12:23:30.631+0000] {subprocess.py:93} INFO - Starting shipment event producer...
[2026-05-14T12:23:30.635+0000] {subprocess.py:93} INFO - Sending to topic: shipment-events
[2026-05-14T12:23:30.635+0000] {subprocess.py:93} INFO - Broker: kafka:9092
[2026-05-14T12:23:30.635+0000] {subprocess.py:93} INFO - 
[2026-05-14T12:23:30.636+0000] {subprocess.py:93} INFO - [1/100] Sent: Order 2054 | Tablet | DELIVERED | DTDC → Lucknow
[2026-05-14T12:23:30.642+0000] {subprocess.py:93} INFO - [25/100] Sent: Order 8646 | Headphones | PROCESSING | DHL → Pune
[2026-05-14T12:23:30.642+0000] {subprocess.py:93} INFO - [26/100] Sent: Order 5412 | Keyboard | SHIPPED | Delhivery → Jaipur
[2026-05-14T12:23:30.643+0000] {subprocess.py:93} INFO - [27/100] Sent: Order 2351 | Keyboard | SHIPPED | DTDC → Kolkata
[2026-05-14T12:23:30.643+0000] {subprocess.py:93} INFO - [28/100] Sent: Order 9766 | Keyboard | PROCESSING | DHL → Jaipur
[2026-05-14T12:23:30.643+0000] {subprocess.py:93} INFO - [29/100] Sent: Order 4930 | Camera | DELIVERED | DHL → Ahmedabad
[2026-05-14T12:23:30.643+0000] {subprocess.py:93} INFO - [30/100] Sent: Order 8667 | Laptop | OUT_FOR_DELIVERY | DTDC → Jaipur
[2026-05-14T12:23:30.644+0000] {subprocess.py:93} INFO - [31/100] Sent: Order 2518 | Laptop | OUT_FOR_DELIVERY | Delhivery → Jaipur
[2026-05-14T12:23:30.644+0000] {subprocess.py:93} INFO - [32/100] Sent: Order 3349 | Keyboard | ORDER_PLACED | DTDC → Lucknow
[2026-05-14T12:23:30.644+0000] {subprocess.py:93} INFO - [33/100] Sent: Order 2586 | Phone | DELAYED | FedEx → Ahmedabad
[2026-05-14T12:23:30.644+0000] {subprocess.py:93} INFO - [34/100] Sent: Order 4050 | Keyboard | OUT_FOR_DELIVERY | DHL → Kolkata
[2026-05-14T12:23:30.644+0000] {subprocess.py:93} INFO - [35/100] Sent: Order 2273 | Laptop | ORDER_PLACED | Delhivery → Jaipur
[2026-05-14T12:23:30.645+0000] {subprocess.py:93} INFO - [36/100] Sent: Order 2182 | Tablet | ORDER_PLACED | Blue Dart → Lucknow
[2026-05-14T12:23:30.645+0000] {subprocess.py:93} INFO - [37/100] Sent: Order 5347 | Monitor | OUT_FOR_DELIVERY | Blue Dart → Pune
[2026-05-14T12:23:30.645+0000] {subprocess.py:93} INFO - [38/100] Sent: Order 4581 | Monitor | IN_TRANSIT | DTDC → Pune
[2026-05-14T12:23:30.645+0000] {subprocess.py:93} INFO - [39/100] Sent: Order 6911 | Headphones | ORDER_PLACED | FedEx → Ahmedabad
[2026-05-14T12:23:30.645+0000] {subprocess.py:93} INFO - [40/100] Sent: Order 7793 | Tablet | IN_TRANSIT | DHL → Ahmedabad
[2026-05-14T12:23:30.646+0000] {subprocess.py:93} INFO - [41/100] Sent: Order 9761 | Headphones | ORDER_PLACED | Delhivery → Pune
[2026-05-14T12:23:30.646+0000] {subprocess.py:93} INFO - [42/100] Sent: Order 6802 | Laptop | SHIPPED | DTDC → Lucknow
[2026-05-14T12:23:30.646+0000] {subprocess.py:93} INFO - [43/100] Sent: Order 2859 | Tablet | OUT_FOR_DELIVERY | FedEx → Pune
[2026-05-14T12:23:30.646+0000] {subprocess.py:93} INFO - [44/100] Sent: Order 5121 | Headphones | IN_TRANSIT | Delhivery → Ahmedabad
[2026-05-14T12:23:30.647+0000] {subprocess.py:93} INFO - [45/100] Sent: Order 5620 | Tablet | SHIPPED | DHL → Ahmedabad
[2026-05-14T12:23:30.647+0000] {subprocess.py:93} INFO - [46/100] Sent: Order 5031 | Monitor | ORDER_PLACED | FedEx → Lucknow
[2026-05-14T12:23:30.647+0000] {subprocess.py:93} INFO - [47/100] Sent: Order 7222 | Camera | ORDER_PLACED | Delhivery → Kolkata
[2026-05-14T12:23:30.647+0000] {subprocess.py:93} INFO - [48/100] Sent: Order 6568 | Phone | DELIVERED | DTDC → Jaipur
[2026-05-14T12:23:30.647+0000] {subprocess.py:93} INFO - [49/100] Sent: Order 7928 | Phone | PROCESSING | DHL → Pune
[2026-05-14T12:23:30.647+0000] {subprocess.py:93} INFO - [50/100] Sent: Order 2404 | Camera | IN_TRANSIT | Blue Dart → Lucknow
[2026-05-14T12:23:30.648+0000] {subprocess.py:93} INFO - [51/100] Sent: Order 7395 | Phone | ORDER_PLACED | FedEx → Kolkata
[2026-05-14T12:23:30.648+0000] {subprocess.py:93} INFO - [52/100] Sent: Order 3335 | Monitor | PROCESSING | DHL → Ahmedabad
[2026-05-14T12:23:30.648+0000] {subprocess.py:93} INFO - [53/100] Sent: Order 8794 | Tablet | ORDER_PLACED | DHL → Lucknow
[2026-05-14T12:23:30.648+0000] {subprocess.py:93} INFO - [54/100] Sent: Order 8785 | Camera | ORDER_PLACED | Blue Dart → Pune
[2026-05-14T12:23:30.648+0000] {subprocess.py:93} INFO - [55/100] Sent: Order 8741 | Laptop | DELIVERED | Delhivery → Kolkata
[2026-05-14T12:23:30.648+0000] {subprocess.py:93} INFO - [56/100] Sent: Order 4105 | Keyboard | OUT_FOR_DELIVERY | Delhivery → Pune
[2026-05-14T12:23:30.649+0000] {subprocess.py:93} INFO - [57/100] Sent: Order 8173 | Laptop | ORDER_PLACED | DTDC → Lucknow
[2026-05-14T12:23:30.649+0000] {subprocess.py:93} INFO - [58/100] Sent: Order 4724 | Camera | PROCESSING | Blue Dart → Kolkata
[2026-05-14T12:23:30.649+0000] {subprocess.py:93} INFO - [59/100] Sent: Order 1167 | Laptop | IN_TRANSIT | Blue Dart → Kolkata
[2026-05-14T12:23:30.649+0000] {subprocess.py:93} INFO - [60/100] Sent: Order 7163 | Laptop | PROCESSING | FedEx → Ahmedabad
[2026-05-14T12:23:30.649+0000] {subprocess.py:93} INFO - [61/100] Sent: Order 2473 | Camera | SHIPPED | DHL → Lucknow
[2026-05-14T12:23:30.649+0000] {subprocess.py:93} INFO - [62/100] Sent: Order 5391 | Camera | PROCESSING | FedEx → Kolkata
[2026-05-14T12:23:30.650+0000] {subprocess.py:93} INFO - [63/100] Sent: Order 5621 | Tablet | PROCESSING | Blue Dart → Ahmedabad
[2026-05-14T12:23:30.650+0000] {subprocess.py:93} INFO - [64/100] Sent: Order 3390 | Monitor | DELIVERED | DTDC → Pune
[2026-05-14T12:23:30.650+0000] {subprocess.py:93} INFO - [65/100] Sent: Order 2583 | Camera | PROCESSING | DTDC → Lucknow
[2026-05-14T12:23:30.650+0000] {subprocess.py:93} INFO - [66/100] Sent: Order 6559 | Laptop | ORDER_PLACED | FedEx → Pune
[2026-05-14T12:23:30.650+0000] {subprocess.py:93} INFO - [67/100] Sent: Order 2454 | Phone | DELAYED | Delhivery → Jaipur
[2026-05-14T12:23:30.650+0000] {subprocess.py:93} INFO - [68/100] Sent: Order 4113 | Monitor | DELIVERED | Delhivery → Lucknow
[2026-05-14T12:23:30.651+0000] {subprocess.py:93} INFO - [69/100] Sent: Order 9699 | Monitor | OUT_FOR_DELIVERY | FedEx → Jaipur
[2026-05-14T12:23:30.651+0000] {subprocess.py:93} INFO - [70/100] Sent: Order 2671 | Laptop | OUT_FOR_DELIVERY | Blue Dart → Kolkata
[2026-05-14T12:23:30.651+0000] {subprocess.py:93} INFO - [71/100] Sent: Order 1967 | Camera | PROCESSING | DTDC → Pune
[2026-05-14T12:23:30.651+0000] {subprocess.py:93} INFO - [72/100] Sent: Order 4698 | Tablet | DELAYED | DHL → Jaipur
[2026-05-14T12:23:30.651+0000] {subprocess.py:93} INFO - [73/100] Sent: Order 5067 | Tablet | SHIPPED | FedEx → Lucknow
[2026-05-14T12:23:30.652+0000] {subprocess.py:93} INFO - [74/100] Sent: Order 7034 | Laptop | DELAYED | Blue Dart → Lucknow
[2026-05-14T12:23:30.652+0000] {subprocess.py:93} INFO - [75/100] Sent: Order 7904 | Headphones | IN_TRANSIT | Delhivery → Lucknow
[2026-05-14T12:23:30.652+0000] {subprocess.py:93} INFO - [76/100] Sent: Order 7837 | Headphones | PROCESSING | FedEx → Jaipur
[2026-05-14T12:23:30.652+0000] {subprocess.py:93} INFO - [77/100] Sent: Order 2870 | Keyboard | DELAYED | FedEx → Ahmedabad
[2026-05-14T12:23:30.652+0000] {subprocess.py:93} INFO - [78/100] Sent: Order 4776 | Camera | DELAYED | Delhivery → Jaipur
[2026-05-14T12:23:30.652+0000] {subprocess.py:93} INFO - [79/100] Sent: Order 4080 | Laptop | ORDER_PLACED | Delhivery → Pune
[2026-05-14T12:23:30.653+0000] {subprocess.py:93} INFO - [80/100] Sent: Order 3333 | Monitor | PROCESSING | DHL → Jaipur
[2026-05-14T12:23:30.653+0000] {subprocess.py:93} INFO - [81/100] Sent: Order 3694 | Keyboard | DELIVERED | Blue Dart → Kolkata
[2026-05-14T12:23:30.653+0000] {subprocess.py:93} INFO - [82/100] Sent: Order 5442 | Monitor | SHIPPED | Delhivery → Pune
[2026-05-14T12:23:30.653+0000] {subprocess.py:93} INFO - [83/100] Sent: Order 5724 | Laptop | ORDER_PLACED | DTDC → Lucknow
[2026-05-14T12:23:30.653+0000] {subprocess.py:93} INFO - [84/100] Sent: Order 4975 | Keyboard | IN_TRANSIT | DTDC → Pune
[2026-05-14T12:23:30.653+0000] {subprocess.py:93} INFO - [85/100] Sent: Order 1788 | Headphones | DELAYED | Delhivery → Ahmedabad
[2026-05-14T12:23:30.654+0000] {subprocess.py:93} INFO - [86/100] Sent: Order 6171 | Tablet | SHIPPED | DTDC → Lucknow
[2026-05-14T12:23:30.654+0000] {subprocess.py:93} INFO - [87/100] Sent: Order 2441 | Headphones | OUT_FOR_DELIVERY | DHL → Kolkata
[2026-05-14T12:23:30.654+0000] {subprocess.py:93} INFO - [88/100] Sent: Order 4872 | Headphones | SHIPPED | DTDC → Ahmedabad
[2026-05-14T12:23:30.654+0000] {subprocess.py:93} INFO - [89/100] Sent: Order 5001 | Headphones | DELAYED | DHL → Kolkata
[2026-05-14T12:23:30.654+0000] {subprocess.py:93} INFO - [90/100] Sent: Order 4388 | Laptop | OUT_FOR_DELIVERY | FedEx → Kolkata
[2026-05-14T12:23:30.654+0000] {subprocess.py:93} INFO - [91/100] Sent: Order 4710 | Monitor | DELAYED | DHL → Ahmedabad
[2026-05-14T12:23:30.654+0000] {subprocess.py:93} INFO - [92/100] Sent: Order 9681 | Tablet | SHIPPED | Delhivery → Jaipur
[2026-05-14T12:23:30.655+0000] {subprocess.py:93} INFO - [93/100] Sent: Order 8857 | Tablet | PROCESSING | FedEx → Jaipur
[2026-05-14T12:23:30.655+0000] {subprocess.py:93} INFO - [94/100] Sent: Order 3114 | Camera | OUT_FOR_DELIVERY | DHL → Ahmedabad
[2026-05-14T12:23:30.655+0000] {subprocess.py:93} INFO - [95/100] Sent: Order 6697 | Monitor | ORDER_PLACED | DTDC → Kolkata
[2026-05-14T12:23:30.655+0000] {subprocess.py:93} INFO - [96/100] Sent: Order 9274 | Phone | DELIVERED | Blue Dart → Pune
[2026-05-14T12:23:30.655+0000] {subprocess.py:93} INFO - [97/100] Sent: Order 7171 | Laptop | OUT_FOR_DELIVERY | Blue Dart → Pune
[2026-05-14T12:23:30.655+0000] {subprocess.py:93} INFO - [98/100] Sent: Order 8603 | Tablet | PROCESSING | Blue Dart → Pune
[2026-05-14T12:23:30.656+0000] {subprocess.py:93} INFO - [99/100] Sent: Order 7209 | Headphones | ORDER_PLACED | DHL → Jaipur
[2026-05-14T12:23:30.656+0000] {subprocess.py:93} INFO - [100/100] Sent: Order 3193 | Laptop | DELIVERED | DTDC → Ahmedabad
[2026-05-14T12:23:30.656+0000] {subprocess.py:93} INFO - 
[2026-05-14T12:23:30.656+0000] {subprocess.py:93} INFO - All events sent successfully!
[2026-05-14T12:23:30.677+0000] {subprocess.py:97} INFO - Command exited with return code 0
[2026-05-14T12:23:30.730+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=supply_chain_pipeline, task_id=kafka_producer, execution_date=20260514T122149, start_date=20260514T122149, end_date=20260514T122330
[2026-05-14T12:23:30.752+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-05-14T12:23:30.779+0000] {taskinstance.py:3280} INFO - 1 downstream tasks scheduled from follow-on schedule check
