[2026-05-16T12:33:31.009+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-16T12:33:30.431294+00:00 [queued]>
[2026-05-16T12:33:31.024+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-16T12:33:30.431294+00:00 [queued]>
[2026-05-16T12:33:31.025+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-05-16T12:33:31.049+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): kafka_producer> on 2026-05-16 12:33:30.431294+00:00
[2026-05-16T12:33:31.059+0000] {standard_task_runner.py:60} INFO - Started process 203 to run task
[2026-05-16T12:33:31.068+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'supply_chain_pipeline', 'kafka_producer', 'manual__2026-05-16T12:33:30.431294+00:00', '--job-id', '47', '--raw', '--subdir', 'DAGS_FOLDER/supply_chain_pipeline.py', '--cfg-path', '/tmp/tmplqxjz72s']
[2026-05-16T12:33:31.073+0000] {standard_task_runner.py:88} INFO - Job 47: Subtask kafka_producer
[2026-05-16T12:33:31.169+0000] {task_command.py:423} INFO - Running <TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-16T12:33:30.431294+00:00 [running]> on host 77266b8302bc
[2026-05-16T12:33:31.302+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lovepreet' AIRFLOW_CTX_DAG_ID='supply_chain_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-05-16T12:33:30.431294+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-16T12:33:30.431294+00:00'
[2026-05-16T12:33:31.303+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-05-16T12:33:31.304+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/airflow/ingestion/kafka_producer.py']
[2026-05-16T12:33:31.311+0000] {subprocess.py:86} INFO - Output:
[2026-05-16T12:35:12.928+0000] {subprocess.py:93} INFO - Starting shipment event producer...
[2026-05-16T12:35:12.931+0000] {subprocess.py:93} INFO - Sending to topic: shipment-events
[2026-05-16T12:35:12.932+0000] {subprocess.py:93} INFO - Broker: kafka:9092
[2026-05-16T12:35:12.932+0000] {subprocess.py:93} INFO - 
[2026-05-16T12:35:12.933+0000] {subprocess.py:93} INFO - [1/100] Sent: Order 1651 | Phone | IN_TRANSIT | DHL → Ahmedabad
[2026-05-16T12:35:12.943+0000] {subprocess.py:93} INFO - [29/100] Sent: Order 2055 | Monitor | SHIPPED | Delhivery → Ahmedabad
[2026-05-16T12:35:12.943+0000] {subprocess.py:93} INFO - [30/100] Sent: Order 7862 | Phone | DELAYED | FedEx → Kolkata
[2026-05-16T12:35:12.944+0000] {subprocess.py:93} INFO - [31/100] Sent: Order 3207 | Keyboard | SHIPPED | Blue Dart → Lucknow
[2026-05-16T12:35:12.944+0000] {subprocess.py:93} INFO - [32/100] Sent: Order 4259 | Tablet | OUT_FOR_DELIVERY | Blue Dart → Kolkata
[2026-05-16T12:35:12.944+0000] {subprocess.py:93} INFO - [33/100] Sent: Order 3576 | Camera | OUT_FOR_DELIVERY | DTDC → Pune
[2026-05-16T12:35:12.945+0000] {subprocess.py:93} INFO - [34/100] Sent: Order 1730 | Tablet | DELAYED | DTDC → Lucknow
[2026-05-16T12:35:12.945+0000] {subprocess.py:93} INFO - [35/100] Sent: Order 8295 | Phone | ORDER_PLACED | Delhivery → Ahmedabad
[2026-05-16T12:35:12.945+0000] {subprocess.py:93} INFO - [36/100] Sent: Order 9759 | Laptop | SHIPPED | DHL → Pune
[2026-05-16T12:35:12.946+0000] {subprocess.py:93} INFO - [37/100] Sent: Order 2783 | Keyboard | IN_TRANSIT | Delhivery → Lucknow
[2026-05-16T12:35:12.946+0000] {subprocess.py:93} INFO - [38/100] Sent: Order 9668 | Keyboard | ORDER_PLACED | DHL → Lucknow
[2026-05-16T12:35:12.946+0000] {subprocess.py:93} INFO - [39/100] Sent: Order 7863 | Headphones | DELIVERED | DHL → Jaipur
[2026-05-16T12:35:12.946+0000] {subprocess.py:93} INFO - [40/100] Sent: Order 1181 | Tablet | ORDER_PLACED | FedEx → Ahmedabad
[2026-05-16T12:35:12.947+0000] {subprocess.py:93} INFO - [41/100] Sent: Order 9751 | Keyboard | DELAYED | DHL → Ahmedabad
[2026-05-16T12:35:12.947+0000] {subprocess.py:93} INFO - [42/100] Sent: Order 8226 | Monitor | OUT_FOR_DELIVERY | FedEx → Ahmedabad
[2026-05-16T12:35:12.947+0000] {subprocess.py:93} INFO - [43/100] Sent: Order 8891 | Monitor | PROCESSING | FedEx → Jaipur
[2026-05-16T12:35:12.947+0000] {subprocess.py:93} INFO - [44/100] Sent: Order 5770 | Tablet | IN_TRANSIT | DHL → Ahmedabad
[2026-05-16T12:35:12.947+0000] {subprocess.py:93} INFO - [45/100] Sent: Order 4350 | Keyboard | PROCESSING | Blue Dart → Pune
[2026-05-16T12:35:12.948+0000] {subprocess.py:93} INFO - [46/100] Sent: Order 7281 | Keyboard | PROCESSING | Delhivery → Jaipur
[2026-05-16T12:35:12.948+0000] {subprocess.py:93} INFO - [47/100] Sent: Order 4092 | Monitor | DELIVERED | Delhivery → Ahmedabad
[2026-05-16T12:35:12.948+0000] {subprocess.py:93} INFO - [48/100] Sent: Order 2084 | Phone | ORDER_PLACED | Blue Dart → Jaipur
[2026-05-16T12:35:12.948+0000] {subprocess.py:93} INFO - [49/100] Sent: Order 4993 | Headphones | SHIPPED | FedEx → Kolkata
[2026-05-16T12:35:12.949+0000] {subprocess.py:93} INFO - [50/100] Sent: Order 8574 | Tablet | OUT_FOR_DELIVERY | FedEx → Lucknow
[2026-05-16T12:35:12.949+0000] {subprocess.py:93} INFO - [51/100] Sent: Order 5792 | Phone | PROCESSING | DHL → Ahmedabad
[2026-05-16T12:35:12.949+0000] {subprocess.py:93} INFO - [52/100] Sent: Order 9073 | Phone | DELIVERED | Blue Dart → Lucknow
[2026-05-16T12:35:12.949+0000] {subprocess.py:93} INFO - [53/100] Sent: Order 8101 | Monitor | SHIPPED | Delhivery → Jaipur
[2026-05-16T12:35:12.949+0000] {subprocess.py:93} INFO - [54/100] Sent: Order 5714 | Tablet | DELIVERED | Delhivery → Jaipur
[2026-05-16T12:35:12.949+0000] {subprocess.py:93} INFO - [55/100] Sent: Order 3097 | Keyboard | ORDER_PLACED | DTDC → Kolkata
[2026-05-16T12:35:12.950+0000] {subprocess.py:93} INFO - [56/100] Sent: Order 9515 | Camera | DELIVERED | FedEx → Ahmedabad
[2026-05-16T12:35:12.950+0000] {subprocess.py:93} INFO - [57/100] Sent: Order 3000 | Phone | ORDER_PLACED | DTDC → Kolkata
[2026-05-16T12:35:12.950+0000] {subprocess.py:93} INFO - [58/100] Sent: Order 7541 | Camera | SHIPPED | Delhivery → Kolkata
[2026-05-16T12:35:12.950+0000] {subprocess.py:93} INFO - [59/100] Sent: Order 2098 | Headphones | SHIPPED | DHL → Pune
[2026-05-16T12:35:12.950+0000] {subprocess.py:93} INFO - [60/100] Sent: Order 7527 | Camera | DELIVERED | FedEx → Lucknow
[2026-05-16T12:35:12.951+0000] {subprocess.py:93} INFO - [61/100] Sent: Order 7749 | Tablet | DELAYED | Delhivery → Lucknow
[2026-05-16T12:35:12.951+0000] {subprocess.py:93} INFO - [62/100] Sent: Order 5347 | Tablet | DELIVERED | DTDC → Lucknow
[2026-05-16T12:35:12.951+0000] {subprocess.py:93} INFO - [63/100] Sent: Order 6619 | Headphones | OUT_FOR_DELIVERY | DHL → Pune
[2026-05-16T12:35:12.951+0000] {subprocess.py:93} INFO - [64/100] Sent: Order 9989 | Tablet | ORDER_PLACED | FedEx → Lucknow
[2026-05-16T12:35:12.951+0000] {subprocess.py:93} INFO - [65/100] Sent: Order 5934 | Camera | DELAYED | Delhivery → Pune
[2026-05-16T12:35:12.951+0000] {subprocess.py:93} INFO - [66/100] Sent: Order 1661 | Monitor | SHIPPED | FedEx → Pune
[2026-05-16T12:35:12.952+0000] {subprocess.py:93} INFO - [67/100] Sent: Order 3130 | Camera | SHIPPED | DHL → Pune
[2026-05-16T12:35:12.952+0000] {subprocess.py:93} INFO - [68/100] Sent: Order 1520 | Monitor | DELIVERED | FedEx → Ahmedabad
[2026-05-16T12:35:12.952+0000] {subprocess.py:93} INFO - [69/100] Sent: Order 3994 | Phone | SHIPPED | DHL → Lucknow
[2026-05-16T12:35:12.952+0000] {subprocess.py:93} INFO - [70/100] Sent: Order 1646 | Headphones | SHIPPED | Delhivery → Jaipur
[2026-05-16T12:35:12.952+0000] {subprocess.py:93} INFO - [71/100] Sent: Order 8114 | Headphones | PROCESSING | DTDC → Jaipur
[2026-05-16T12:35:12.953+0000] {subprocess.py:93} INFO - [72/100] Sent: Order 2524 | Tablet | DELIVERED | DTDC → Kolkata
[2026-05-16T12:35:12.953+0000] {subprocess.py:93} INFO - [73/100] Sent: Order 6955 | Camera | SHIPPED | DHL → Lucknow
[2026-05-16T12:35:12.953+0000] {subprocess.py:93} INFO - [74/100] Sent: Order 8250 | Tablet | ORDER_PLACED | FedEx → Jaipur
[2026-05-16T12:35:12.953+0000] {subprocess.py:93} INFO - [75/100] Sent: Order 9989 | Keyboard | OUT_FOR_DELIVERY | DHL → Ahmedabad
[2026-05-16T12:35:12.953+0000] {subprocess.py:93} INFO - [76/100] Sent: Order 1816 | Phone | ORDER_PLACED | FedEx → Lucknow
[2026-05-16T12:35:12.954+0000] {subprocess.py:93} INFO - [77/100] Sent: Order 1484 | Headphones | ORDER_PLACED | Blue Dart → Ahmedabad
[2026-05-16T12:35:12.954+0000] {subprocess.py:93} INFO - [78/100] Sent: Order 2688 | Laptop | DELAYED | FedEx → Jaipur
[2026-05-16T12:35:12.954+0000] {subprocess.py:93} INFO - [79/100] Sent: Order 8575 | Phone | SHIPPED | FedEx → Pune
[2026-05-16T12:35:12.954+0000] {subprocess.py:93} INFO - [80/100] Sent: Order 8125 | Laptop | PROCESSING | Blue Dart → Pune
[2026-05-16T12:35:12.954+0000] {subprocess.py:93} INFO - [81/100] Sent: Order 1658 | Tablet | SHIPPED | DTDC → Jaipur
[2026-05-16T12:35:12.955+0000] {subprocess.py:93} INFO - [82/100] Sent: Order 8889 | Camera | DELAYED | Blue Dart → Ahmedabad
[2026-05-16T12:35:12.955+0000] {subprocess.py:93} INFO - [83/100] Sent: Order 6857 | Monitor | OUT_FOR_DELIVERY | Blue Dart → Ahmedabad
[2026-05-16T12:35:12.955+0000] {subprocess.py:93} INFO - [84/100] Sent: Order 6178 | Monitor | IN_TRANSIT | DHL → Pune
[2026-05-16T12:35:12.955+0000] {subprocess.py:93} INFO - [85/100] Sent: Order 7000 | Keyboard | PROCESSING | DTDC → Ahmedabad
[2026-05-16T12:35:12.955+0000] {subprocess.py:93} INFO - [86/100] Sent: Order 7020 | Keyboard | SHIPPED | Blue Dart → Lucknow
[2026-05-16T12:35:12.955+0000] {subprocess.py:93} INFO - [87/100] Sent: Order 7239 | Keyboard | DELAYED | DHL → Lucknow
[2026-05-16T12:35:12.955+0000] {subprocess.py:93} INFO - [88/100] Sent: Order 6583 | Laptop | DELAYED | Blue Dart → Jaipur
[2026-05-16T12:35:12.956+0000] {subprocess.py:93} INFO - [89/100] Sent: Order 3443 | Keyboard | SHIPPED | DTDC → Jaipur
[2026-05-16T12:35:12.956+0000] {subprocess.py:93} INFO - [90/100] Sent: Order 5207 | Headphones | DELIVERED | DHL → Lucknow
[2026-05-16T12:35:12.956+0000] {subprocess.py:93} INFO - [91/100] Sent: Order 4371 | Keyboard | SHIPPED | Blue Dart → Kolkata
[2026-05-16T12:35:12.956+0000] {subprocess.py:93} INFO - [92/100] Sent: Order 9834 | Keyboard | SHIPPED | Blue Dart → Ahmedabad
[2026-05-16T12:35:12.956+0000] {subprocess.py:93} INFO - [93/100] Sent: Order 6673 | Keyboard | SHIPPED | DHL → Kolkata
[2026-05-16T12:35:12.956+0000] {subprocess.py:93} INFO - [94/100] Sent: Order 1725 | Keyboard | DELAYED | DHL → Pune
[2026-05-16T12:35:12.957+0000] {subprocess.py:93} INFO - [95/100] Sent: Order 7969 | Tablet | PROCESSING | Delhivery → Ahmedabad
[2026-05-16T12:35:12.957+0000] {subprocess.py:93} INFO - [96/100] Sent: Order 9399 | Headphones | PROCESSING | Delhivery → Pune
[2026-05-16T12:35:12.957+0000] {subprocess.py:93} INFO - [97/100] Sent: Order 6397 | Tablet | ORDER_PLACED | DHL → Ahmedabad
[2026-05-16T12:35:12.957+0000] {subprocess.py:93} INFO - [98/100] Sent: Order 3030 | Phone | DELAYED | DHL → Pune
[2026-05-16T12:35:12.957+0000] {subprocess.py:93} INFO - [99/100] Sent: Order 4943 | Camera | OUT_FOR_DELIVERY | DHL → Kolkata
[2026-05-16T12:35:12.957+0000] {subprocess.py:93} INFO - [100/100] Sent: Order 5912 | Tablet | IN_TRANSIT | Blue Dart → Pune
[2026-05-16T12:35:12.957+0000] {subprocess.py:93} INFO - 
[2026-05-16T12:35:12.958+0000] {subprocess.py:93} INFO - All events sent successfully!
[2026-05-16T12:35:12.977+0000] {subprocess.py:97} INFO - Command exited with return code 0
[2026-05-16T12:35:13.002+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=supply_chain_pipeline, task_id=kafka_producer, execution_date=20260516T123330, start_date=20260516T123331, end_date=20260516T123513
[2026-05-16T12:35:13.053+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-05-16T12:35:13.073+0000] {taskinstance.py:3280} INFO - 1 downstream tasks scheduled from follow-on schedule check
