[2026-05-14T12:10:45.390+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_consumer manual__2026-05-14T12:09:02.776316+00:00 [queued]>
[2026-05-14T12:10:45.398+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_consumer manual__2026-05-14T12:09:02.776316+00:00 [queued]>
[2026-05-14T12:10:45.398+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-05-14T12:10:45.409+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): kafka_consumer> on 2026-05-14 12:09:02.776316+00:00
[2026-05-14T12:10:45.415+0000] {standard_task_runner.py:60} INFO - Started process 278 to run task
[2026-05-14T12:10:45.420+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'supply_chain_pipeline', 'kafka_consumer', 'manual__2026-05-14T12:09:02.776316+00:00', '--job-id', '33', '--raw', '--subdir', 'DAGS_FOLDER/supply_chain_pipeline.py', '--cfg-path', '/tmp/tmp_oxuq58s']
[2026-05-14T12:10:45.422+0000] {standard_task_runner.py:88} INFO - Job 33: Subtask kafka_consumer
[2026-05-14T12:10:45.468+0000] {task_command.py:423} INFO - Running <TaskInstance: supply_chain_pipeline.kafka_consumer manual__2026-05-14T12:09:02.776316+00:00 [running]> on host 25ee09023a37
[2026-05-14T12:10:45.535+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lovepreet' AIRFLOW_CTX_DAG_ID='supply_chain_pipeline' AIRFLOW_CTX_TASK_ID='kafka_consumer' AIRFLOW_CTX_EXECUTION_DATE='2026-05-14T12:09:02.776316+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-14T12:09:02.776316+00:00'
[2026-05-14T12:10:45.536+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-05-14T12:10:45.537+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/airflow/ingestion/kafka_consumer.py']
[2026-05-14T12:10:45.544+0000] {subprocess.py:86} INFO - Output:
[2026-05-14T12:10:49.218+0000] {subprocess.py:93} INFO - Starting consumer...
[2026-05-14T12:10:49.219+0000] {subprocess.py:93} INFO - Topic: shipment-events
[2026-05-14T12:10:49.219+0000] {subprocess.py:93} INFO - Writing to: MinIO Bronze bucket
[2026-05-14T12:10:49.220+0000] {subprocess.py:93} INFO - 
[2026-05-14T12:10:49.220+0000] {subprocess.py:93} INFO - Consumed: Order 8061 | Tablet | PROCESSING
[2026-05-14T12:10:49.240+0000] {subprocess.py:93} INFO - Consumed: Order 6066 | Tablet | IN_TRANSIT
[2026-05-14T12:10:49.240+0000] {subprocess.py:93} INFO - Consumed: Order 4152 | Camera | DELIVERED
[2026-05-14T12:10:49.240+0000] {subprocess.py:93} INFO - Consumed: Order 5592 | Phone | PROCESSING
[2026-05-14T12:10:49.240+0000] {subprocess.py:93} INFO - Consumed: Order 4450 | Phone | DELIVERED
[2026-05-14T12:10:49.240+0000] {subprocess.py:93} INFO - Consumed: Order 6773 | Phone | DELIVERED
[2026-05-14T12:10:49.241+0000] {subprocess.py:93} INFO - ✅ Written batch 12 → bronze/shipments/2026/05/14/batch_12_121049.json (10 events)
[2026-05-14T12:10:49.241+0000] {subprocess.py:93} INFO - Consumed: Order 3656 | Camera | DELIVERED
[2026-05-14T12:10:49.241+0000] {subprocess.py:93} INFO - Consumed: Order 3032 | Keyboard | ORDER_PLACED
[2026-05-14T12:10:49.241+0000] {subprocess.py:93} INFO - Consumed: Order 1896 | Monitor | ORDER_PLACED
[2026-05-14T12:10:49.241+0000] {subprocess.py:93} INFO - Consumed: Order 4369 | Monitor | DELAYED
[2026-05-14T12:10:49.241+0000] {subprocess.py:93} INFO - Consumed: Order 1870 | Laptop | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.241+0000] {subprocess.py:93} INFO - Consumed: Order 8895 | Phone | SHIPPED
[2026-05-14T12:10:49.242+0000] {subprocess.py:93} INFO - Consumed: Order 6953 | Laptop | DELIVERED
[2026-05-14T12:10:49.242+0000] {subprocess.py:93} INFO - Consumed: Order 7039 | Keyboard | ORDER_PLACED
[2026-05-14T12:10:49.242+0000] {subprocess.py:93} INFO - Consumed: Order 7730 | Phone | ORDER_PLACED
[2026-05-14T12:10:49.242+0000] {subprocess.py:93} INFO - Consumed: Order 7902 | Camera | DELAYED
[2026-05-14T12:10:49.242+0000] {subprocess.py:93} INFO - ✅ Written batch 13 → bronze/shipments/2026/05/14/batch_13_121049.json (10 events)
[2026-05-14T12:10:49.242+0000] {subprocess.py:93} INFO - Consumed: Order 1541 | Keyboard | SHIPPED
[2026-05-14T12:10:49.243+0000] {subprocess.py:93} INFO - Consumed: Order 4153 | Monitor | DELAYED
[2026-05-14T12:10:49.243+0000] {subprocess.py:93} INFO - Consumed: Order 6984 | Camera | IN_TRANSIT
[2026-05-14T12:10:49.243+0000] {subprocess.py:93} INFO - Consumed: Order 4505 | Headphones | PROCESSING
[2026-05-14T12:10:49.243+0000] {subprocess.py:93} INFO - Consumed: Order 9396 | Keyboard | SHIPPED
[2026-05-14T12:10:49.243+0000] {subprocess.py:93} INFO - Consumed: Order 6040 | Headphones | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.243+0000] {subprocess.py:93} INFO - Consumed: Order 6870 | Laptop | DELAYED
[2026-05-14T12:10:49.244+0000] {subprocess.py:93} INFO - Consumed: Order 1257 | Headphones | IN_TRANSIT
[2026-05-14T12:10:49.244+0000] {subprocess.py:93} INFO - Consumed: Order 8579 | Camera | DELIVERED
[2026-05-14T12:10:49.244+0000] {subprocess.py:93} INFO - Consumed: Order 8005 | Tablet | PROCESSING
[2026-05-14T12:10:49.244+0000] {subprocess.py:93} INFO - ✅ Written batch 14 → bronze/shipments/2026/05/14/batch_14_121049.json (10 events)
[2026-05-14T12:10:49.244+0000] {subprocess.py:93} INFO - Consumed: Order 1404 | Laptop | IN_TRANSIT
[2026-05-14T12:10:49.244+0000] {subprocess.py:93} INFO - Consumed: Order 2358 | Keyboard | DELIVERED
[2026-05-14T12:10:49.244+0000] {subprocess.py:93} INFO - Consumed: Order 5728 | Laptop | DELIVERED
[2026-05-14T12:10:49.244+0000] {subprocess.py:93} INFO - Consumed: Order 6084 | Keyboard | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.245+0000] {subprocess.py:93} INFO - Consumed: Order 2054 | Headphones | ORDER_PLACED
[2026-05-14T12:10:49.245+0000] {subprocess.py:93} INFO - Consumed: Order 1186 | Phone | DELAYED
[2026-05-14T12:10:49.245+0000] {subprocess.py:93} INFO - Consumed: Order 7861 | Monitor | IN_TRANSIT
[2026-05-14T12:10:49.245+0000] {subprocess.py:93} INFO - Consumed: Order 8965 | Headphones | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.245+0000] {subprocess.py:93} INFO - Consumed: Order 7650 | Phone | ORDER_PLACED
[2026-05-14T12:10:49.245+0000] {subprocess.py:93} INFO - Consumed: Order 1169 | Monitor | DELAYED
[2026-05-14T12:10:49.245+0000] {subprocess.py:93} INFO - ✅ Written batch 15 → bronze/shipments/2026/05/14/batch_15_121049.json (10 events)
[2026-05-14T12:10:49.246+0000] {subprocess.py:93} INFO - Consumed: Order 9803 | Headphones | IN_TRANSIT
[2026-05-14T12:10:49.246+0000] {subprocess.py:93} INFO - Consumed: Order 5702 | Laptop | SHIPPED
[2026-05-14T12:10:49.246+0000] {subprocess.py:93} INFO - Consumed: Order 9008 | Keyboard | SHIPPED
[2026-05-14T12:10:49.246+0000] {subprocess.py:93} INFO - Consumed: Order 8677 | Camera | SHIPPED
[2026-05-14T12:10:49.246+0000] {subprocess.py:93} INFO - Consumed: Order 3106 | Monitor | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.247+0000] {subprocess.py:93} INFO - Consumed: Order 6899 | Camera | IN_TRANSIT
[2026-05-14T12:10:49.247+0000] {subprocess.py:93} INFO - Consumed: Order 2199 | Tablet | PROCESSING
[2026-05-14T12:21:30.930+0000] {local_task_job_runner.py:302} WARNING - State of this instance has been externally set to failed. Terminating instance.
[2026-05-14T12:21:30.942+0000] {process_utils.py:131} INFO - Sending 15 to group 278. PIDs of all processes in the group: [279, 278]
[2026-05-14T12:21:30.944+0000] {process_utils.py:86} INFO - Sending the signal 15 to group 278
[2026-05-14T12:21:30.946+0000] {taskinstance.py:2450} ERROR - Received SIGTERM. Terminating subprocesses.
[2026-05-14T12:21:30.952+0000] {subprocess.py:104} INFO - Sending SIGTERM signal to process group
[2026-05-14T12:21:31.044+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=278, status='terminated', exitcode=0, started='12:10:45') (278) terminated with exit code 0
[2026-05-14T12:21:31.045+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=279, status='terminated', started='12:10:45') (279) terminated with exit code None
